date, price
2018-03-21,83.85
2018-03-22,83.55
2018-03-23,82.1
2018-03-26,82.2
2018-03-27,83.4
2018-03-28,82.25
2018-03-29,82.1
2018-03-30,82.85
2018-03-31,82.95
2018-04-02,82.25
2018-04-03,81.5
2018-04-09,82.2
2018-04-10,82.5
2018-04-11,82.85
2018-04-12,82.5
2018-04-13,82.5
2018-04-16,82.3
2018-04-17,81.4
2018-04-18,81.6
2018-04-19,82.65
2018-04-20,80.75
2018-04-23,79.95
2018-04-24,79.55
2018-04-25,79.3
2018-04-26,79.05
2018-04-27,79.2
2018-04-30,80
2018-05-02,79.4
2018-05-03,78.55
2018-05-04,78.95
2018-05-07,79.5
2018-05-08,80
2018-05-09,80.45
2018-05-10,80.65
2018-05-11,81.6
2018-05-14,82.5
2018-05-15,81.65
2018-05-16,81.75
2018-05-17,81.2
2018-05-18,80.95
2018-05-21,82.05
2018-05-22,81.75
2018-05-23,81.35
2018-05-24,81.55
2018-05-25,81.85
2018-05-28,82.2
2018-05-29,81.85
2018-05-30,80.4
2018-05-31,80.75
2018-06-01,81.35
2018-06-04,82.6
2018-06-05,82.5
2018-06-06,83.3
2018-06-07,83.45
2018-06-08,82.55
2018-06-11,82.65
2018-06-12,82.5
2018-06-13,83
2018-06-14,81.75
2018-06-15,81.95
2018-06-19,80.6
2018-06-20,81.5
2018-06-21,81.25
2018-06-22,81.15
2018-06-25,80.9
2018-06-26,80.7
2018-06-27,80.4
2018-06-28,80.05
2018-06-29,81.45
2018-07-02,81.05
2018-07-03,81.15
2018-07-04,81.4
2018-07-05,80.75
2018-07-06,80.95
2018-07-09,82.25
2018-07-10,82.45
2018-07-11,81.7
2018-07-12,82.65
2018-07-13,83.35
2018-07-16,83
2018-07-17,82.55
2018-07-18,83.05
2018-07-19,83.3
2018-07-20,84.65
2018-07-23,84.55
2018-07-24,84.7
2018-07-25,84.75
2018-07-26,85
2018-07-27,85.7
2018-07-30,85.55
2018-07-31,85.55
2018-08-01,86.15
2018-08-02,84.85
2018-08-03,85.55
2018-08-06,85.7
2018-08-07,85.5
